Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.68410301208496,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,24.85968017578125,480500
1993-02-02,44.21875,44.375,44.125,44.34375,24.912342071533203,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.17569351196289,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.28101348876953,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.263460159301758,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.263460159301758,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.08789825439453,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.12302589416504,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.245893478393555,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.05278778076172,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.420753479003906,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.40321159362793,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.385650634765625,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.473434448242188,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.56121253967285,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.54364585876465,373700
1993-02-24,43.71875,44.25,43.71875,44.25,24.85968017578125,26300
1993-02-25,44.21875,44.375,44.125,44.34375,24.912342071533203,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.947444915771484,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.877216339111328,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.245893478393555,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.35123062133789,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.210790634155273,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.14056396484375,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.70237159729004,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.614585876464844,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.667240142822266,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.597028732299805,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.333694458007812,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.45659065246582,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.45659065246582,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.298580169677734,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.45659065246582,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.418058395385742,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.276939392089844,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.329856872558594,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.329856872558594,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.488615036010742,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.34749984741211,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.453336715698242,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.52389907836914,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.506256103515625,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.418058395385742,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.88887596130371,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.01236343383789,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.941810607910156,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,25.02998161315918,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.99471092224121,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.34749984741211,348500
1993-04-13,44.875,45.15625,44.84375,45.0,25.400405883789062,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.365131378173828,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,25.365131378173828,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,25.365131378173828,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,25.259296417236328,157000
1993-04-20,44.6875,44.75,44.25,44.53125,25.135826110839844,279500
1993-04-21,44.625,44.625,44.375,44.5,25.118183135986328,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.800683975219727,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,24.69484519958496,106000
